source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 1	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_1.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 2	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_2.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 3	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_3.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 4	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_4.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 5	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_5.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 6	proteomic profiling by mass spectrometry	1	20171122_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_6.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 7	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_1.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 8	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_2.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 9	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_3.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 10	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_4.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
