source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 1	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_01a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 2	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_01b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 3	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_02a.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 4	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_02b.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 5	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_03a.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 6	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_03b.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 7	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_04a.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 8	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_04b.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 9	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_05a.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 10	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-01pct_SCX_05b.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
